"시점","세대수","총인구","남자인구","여자인구","내국인인구","내국인남자인구","내국인여자인구","외국인인구","외국인남자인구","외국인여자인구","인구밀도","면적","인구증가율","세대당인구","65세이상 고령자인구"
"합계","합계","합계","합계","합계","합계","합계","합계","합계","합계","합계","합계","합계","합계","합계","202412","163,432","396,867","198,270","198,597","390,685","194,413","196,272","6,182","3,857","2,325","854","465","-","2","45,301"
"202411","163,414","396,790","198,238","198,552","390,603","194,407","196,196","6,187","3,831","2,356","853","465","-","2","45,043"
"202410","163,177","396,168","197,936","198,232","389,978","194,110","195,868","6,190","3,826","2,364","852","465","-","2","44,784"
"202409","162,952","395,652","197,692","197,960","389,443","193,854","195,589","6,209","3,838","2,371","851","465","-","2","44,554"
"202408","162,837","395,240","197,444","197,796","389,370","193,826","195,544","5,870","3,618","2,252","850","465","-","2","44,363"
"202407","162,554","394,630","197,114","197,516","388,788","193,538","195,250","5,842","3,576","2,266","849","465","-","2","44,106"
"202406","162,161","393,793","196,725","197,068","387,940","193,149","194,791","5,853","3,576","2,277","847","465","-","2","43,887"
"202405","162,063","393,595","196,584","197,011","387,774","193,044","194,730","5,821","3,540","2,281","847","465","-","2","43,690"
"202404","161,975","393,566","196,653","196,913","387,726","193,099","194,627","5,840","3,554","2,286","846","465","-","2","43,550"
"202403","161,711","393,254","196,463","196,791","387,411","192,907","194,504","5,843","3,556","2,287","846","465","-","2","43,363"
"202402","161,303","393,005","196,387","196,618","387,193","192,836","194,357","5,812","3,551","2,261","845","465","-","2","43,069"
"202401","160,942","392,716","196,232","196,484","386,944","192,704","194,240","5,772","3,528","2,244","845","465","-","2","42,826"
"202312","160,835","392,311","196,048","196,263","386,525","192,524","194,001","5,786","3,524","2,262","844","465","-","2","42,560"
"202311","160,764","392,078","195,921","196,157","386,256","192,396","193,860","5,822","3,525","2,297","843","465","-","2","42,336"
"202310","160,556","391,884","195,831","196,053","386,079","192,299","193,780","5,805","3,532","2,273","843","465","-","2","42,120"
"202309","160,479","391,754","195,798","195,956","385,932","192,246","193,686","5,822","3,552","2,270","843","465","-","2","41,863"
"202308","160,439","391,511","195,648","195,863","385,953","192,271","193,682","5,558","3,377","2,181","842","465","-","2","41,671"
"202307","160,562","391,746","195,823","195,923","386,192","192,449","193,743","5,554","3,374","2,180","843","465","-","2","41,468"
"202306","160,615","391,612","195,735","195,877","386,126","192,435","193,691","5,486","3,300","2,186","842","465","-","2","41,362"
"202305","160,604","391,495","195,669","195,826","386,050","192,393","193,657","5,445","3,276","2,169","842","465","-","2","41,248"
"202304","160,474","391,267","195,574","195,693","385,825","192,316","193,509","5,442","3,258","2,184","842","465","-","2","41,082"
"202303","160,320","391,043","195,467","195,576","385,609","192,212","193,397","5,434","3,255","2,179","841","465","-","2","40,950"
"202302","160,012","390,634","195,327","195,307","385,285","192,110","193,175","5,349","3,217","2,132","840","465","-","2","40,644"
"202301","159,556","389,774","194,940","194,834","384,496","191,769","192,727","5,278","3,171","2,107","838","465","-","2","40,453"
"202212","159,386","388,927","194,570","194,357","383,591","191,389","192,202","-","-","5,336","3,181","2,155","837","465","-"
"202211","159,150","388,073","194,143","193,930","382,770","190,987","191,783","5,303","3,156","2,147","835","465","-","2","39,990"
"202210","159,129","387,555","193,833","193,722","382,258","190,683","191,575","5,297","3,150","2,147","-","-","-","2","-"
"202209","159,036","387,162","193,644","193,518","381,925","190,541","191,384","5,237","3,103","2,134","-","-","-","2","-"
"202208","158,798","386,438","192,660","192,513","381,439","189,723","190,492","4,999","2,937","2,021","-","-","-","2","-"
"202207","158,495","385,847","192,660","192,513","380,889","189,723","190,492","4,958","2,937","2,937","-","-","-","2","-"
"202206","158,258","385,147","192,643","192,504","380,215","189,723","190,492","4,932","2,920","2,012","-","-","-","2","-"
"202205","157,846","384,269","192,230","192,039","379,340","189,302","190,038","4,929","2,928","2,001","-","-","-","2","-"
"202204","157,270","383,075","191,680","191,395","378,196","188,778","189,418","4,879","2,902","1,977","824","465","-","2","38,491"
"202203","156,696","382,190","191,286","190,904","377,296","188,356","188,940","4,894","2,930","1,964","-","-","-","2","-"
"202202","155,990","381,293","-","-","376,399","187,858","188,541","4,894","2,934","1,960","-","-","-","-","-"
"202201","154,890","379,252","189,835","189,417","374,377","186,907","187,470","4,875","2,928","1,947","816","465","5","2","37,772"
